,0
PDE1C,2
TRIP10,2
KPNA4,2
OGT,2
SLC11A2,2
DHX36,2
MAPKAPK2,2
PGRMC2,2
TRA2A,2
TP53INP2,2
ATP6V0A1,2
ARID5A,2
AOX1,2
CAD,2
TXNRD1,2
WDR17,2
CNTNAP2,2
KALRN,2
ZBTB16,2
SOX11,2
ZFP36,2
BEX4,2
ZWINT,2
ZNF655,2
ZMIZ1,2
ACO2,2
DALRD3,2
WFDC1,2
RAB2A,2
FAM110C,2
NCALD,2
NDUFB8,2
MDFIC,2
ME2,2
MTRF1L,2
LDHD,2
MOCS2,2
FH,2
LPIN1,2
BLNK,2
ARHGAP11A,2
ETNPPL,2
PCYT2,2
ZNF524,2
ZC3HC1,2
ARID1A,2
METTL22,2
PDHA1,2
USP22,2
F8A3,2
F8A1,2
F8A2,2
ETFDH,2
MTHFD2L,2
MRPL43,2
TSPAN32,2
USP2,2
MAGIX,2
MECR,2
MLYCD,2
PM20D2,2
PARVB,2
PEX19,2
PDK1,2
DNAJC1,2
DNMT1,2
ZFAND3,2
GSTM4,2
PDSS2,2
BRD2,2
NDN,2
EXOSC8,2
C9orf3,2
ACADM,2
FAM193A,2
FAM53B,2
MUT,2
EYA1,2
DLEU1,2
GLT8D1,2
GSK3B,2
AFAP1L1,2
NCAPD2,2
POLD2,2
LENG8,2
MBTD1,2
RYK,2
TMEM110-MUSTN1,2
TET1,2
TAF15,2
SNTB2,2
SNRNP70,2
EPS15L1,2
HEXIM2,2
GPCPD1,2
TXNL1,2
PHKB,2
PPTC7,2
ADK,2
UBE3C,2
ZNF32,2
PTPN2,2
MLF1,2
PHF20L1,2
P4HA2,2
SAMM50,2
PABPN1,2
WWC1,2
RNASEH2C,2
DNAJC21,2
MAOB,2
FYCO1,2
DCAF8,2
HOXA1,2
GYS1,2
ERI3,2
AK2,2
SLC12A6,2
ISY1-RAB43,2
AGFG2,2
GSTM1,2
TFDP1,2
ANKRD23,2
HOXB3,2
C1orf174,2
MBNL3,2
CAPRIN1,2
HOXB2,2
FAM171A1,2
SMYD1,2
LRRC37A7P,2
GPATCH2,2
CGGBP1,2
OTP,2
MSI2,2
PAX2,2
SLC38A9,2
GNPNAT1,2
SKP2,2
ATP5A1,2
XPNPEP1,2
CCDC25,2
FDX1,2
UBALD2,2
TBXA2R,2
SNX12,2
USP21,2
TNIP1,2
SAFB2,2
EHD1,2
LACTB,2
TCF20,2
TEF,2
TTC14,2
TXNIP,2
FAM210B,2
TIAL1,2
TMEM150C,2
ME1,2
KCTD3,2
MIPEP,2
GLRX3,2
HERC2,2
NDUFS1,2
CDK16,2
STAT3,2
BRAF,2
CEP112,2
LIMCH1,2
HS6ST2,2
CXCL2,2
PFKFB3,2
PIP5KL1,2
SREK1,2
POLI,2
SH2D2A,2
ALPK1,2
PPP3CC,2
IMPA2,2
CBL,2
DEPTOR,2
STAU2,2
CNPY2,2
AUTS2,2
SDHAF2,2
SFI1,2
ATP10A,2
C15orf41,2
AURKA,2
KLF4,2
GRK6,2
LTC4S,2
USP42,2
NUDT6,2
ASUN,2
ATP7A,2
DBT,2
LGALS4,2
KNSTRN,2
KLHDC3,2
BTN1A1,2
METAP1D,2
KIF23,2
KAZALD1,2
IRS2,2
MFAP3L,2
INCENP,2
KCNN3,2
NMNAT1,2
HPS4,2
DBP,2
PKDCC,2
ALDH4A1,2
ALAS2,2
CKLF,2
NET1,2
FGFR1OP,2
USP36,2
CD74,2
ZFP91,2
NOP58,2
ZKSCAN1,2
C5orf34,2
WDR91,2
MALT1,2
URI1,2
NDE1,2
AIFM2,2
RFESD,2
WDR77,2
BUB1,2
MYC,2
MTBP,2
NCOA1,2
TMEM150A,2
AGO4,2
RAB24,2
PELP1,2
RPAIN,2
POMT2,2
SNRPB,2
NAPG,2
CHEK2,2
GCDH,2
CDCA8,2
CDCA7,2
CDCA5,2
CDCA3,2
DNAAF1,2
UBE2A,2
DGAT2,2
CDC45,2
GLCCI1,2
CLNS1A,2
CCDC77,2
PTPN4,2
YPEL3,2
ARSB,2
BIRC5,2
BEND3,2
ANK2,2
RXRG,2
CGRRF1,2
PPP1R3E,2
TIMM23B///TIMM23,2
NIN,2
GSG2,2
EIF3I,2
UBE2M,2
MTFMT,2
MKNK2,2
TCAIM,2
RANBP9,2
STK40,2
FAHD1,2
FAM132A,2
SEC61A2,2
ESCO2,2
EEF2,2
EVL,2
C7orf26,2
DVL1,2
ESD,2
COX7C,2
HERPUD1,2
ZFHX3,2
TPMT,2
CTR9,2
FBXW4,2
CPSF1,2
DCAF4,2
ENDOG,2
SLC25A10,2
TGFA,2
RGS7,2
FKBP1A,2
AAK1,2
SLC35B4,2
THRIL///BRI3BP,2
TADA2A,2
COPS7A,2
PPP1R11,2
CITED2,2
ARHGEF7,2
NAV3,2
TBX3,2
XIAP,2
ENC1,2
GGCT,2
THAP4,2
PKNOX2,2
NRXN1,2
ECM1,2
ZYG11B,2
GPAM,2
THYN1,2
MEF2C,2
OLFM3,2
RNF144B,2
NDRG1,2
CDH22,2
DDX26B,2
MRC1,2
CIAPIN1,2
OPA1,2
STXBP5,2
CPEB2,2
SOX4,2
ENTPD5,2
GULP1,2
MAP3K6,2
ABLIM3,2
SRXN1,2
SLC9A7,2
PAFAH1B1,2
PIGQ,2
MGLL,2
ASB8,2
ATL1,2
NDFIP1,2
ST8SIA3,2
DCAF6,2
DNAJA2,2
SERPINE1,2
SEMA7A,2
ULK2,2
SUMO1,2
CAMK4,2
DAB2,2
PGM1,2
DYNC1LI1,2
NFIL3,2
FAM49A,2
PER1,2
PHOSPHO2-KLHL23,2
ZNRF3,2
KIRREL3,2
ZKSCAN3,2
ERRFI1,2
KLHL23,2
PTGER4,2
MRPS30,2
B3GALNT1,2
UBQLN1,2
EGR1,2
FOS,2
FN1,2
TIMM17A,2
LRRC27,2
LSS,2
MMP24,2
CAMSAP1,2
FLVCR2,2
TUBB2A,2
ASS1,2
TMEM38B,2
DNAJB9,2
PLXNA2,2
TPD52L2,2
MMADHC,2
RND1,2
ATP5G3,2
NT5E,2
PPP1R14C,2
KIF3C,2
COPS8,2
MYCBP2,2
PPM1L,2
NFKB2,2
MPC2,2
TCEB1,2
AGK,2
NFKBIA,2
RETSAT,2
NHP2,2
EMP2,2
IGF2R,2
SCAI,2
NDFIP2,2
ANKRD40,2
ENG,2
NAV2,2
OLR1,2
EPAS1,2
MAPK8,2
UBE3A,2
AP1S1,2
PMM1,2
LOC100506538///NDUFAF6,2
KIAA2022,2
GABRB3,2
PXDC1,2
SLC1A5,2
KMT2C,2
SLC22A1,2
AKIRIN2,2
FITM2,2
RTN4,2
LAMA2,2
TPM3,2
RNF19B,2
CEBPD,2
CALB1,2
GPD1,2
CYB5B,2
NNAT,2
CYP51A1,2
NDUFAF5,2
TPI1,2
KIAA1549,2
CELF2,2
CLOCK,2
GYS2,2
SMUG1,2
SLC1A2,2
RASGRF2,2
SERINC5,2
CCDC141,2
KDM6B,2
ATP6V1C1,2
SCN5A,2
BIRC2,2
RAB3C,2
IPO5,2
SECISBP2L,2
ADCY2,2
ENO1,2
,2
CHCHD6,2
SCOC,2
RCAN2,2
CCNL1,2
CDKL2,2
CD14,2
C11orf87,2
VTA1,2
TTL,2
INMT,2
PLK2,2
PENK,2
CD93,2
OLFM1,2
ELOVL7,2
IFT22,2
GRIA2,2
CALM3///CALM2///CALM1,2
ATP5J,2
MOAP1,2
DHCR7,2
PRDX3,2
KCNQ2,2
PHF14,2
ARL4C,2
PNPLA3,2
ACSL4,2
HSD11B1,2
PSME3,2
DDX10,2
CYR61,2
DUSP10,1
IRF4,1
HEG1,1
HBEGF,1
GCNT1,1
ITGB1,1
KRT23,1
FOSL2,1
FYN,1
FUK,1
GALNT15,1
HAS2,1
HIST1H1C,1
IRF2BP2,1
GAS6,1
DNAJC2,1
HUWE1,1
EMG1,1
ENDOV,1
GDPGP1,1
EPHA10,1
EPHB3,1
JMJD1C,1
HILPDA,1
ITGA5,1
DYNLT1,1
HK2,1
ITPKC,1
EFHD2,1
KLC1,1
FLNB,1
FLT1,1
KLB,1
GABRA2,1
ITPKB,1
FLI1,1
KIF21A,1
DUS2,1
KLHL35,1
HSPG2,1
FOSL1,1
FGL2,1
KLHL5,1
IL18BP,1
KHK,1
KDM4C,1
KCNJ6,1
FGD5,1
EIF5A2,1
DPF3,1
HAO1,1
ERI2,1
IL17A,1
IER2,1
GPHN,1
FANCM,1
IL17RA,1
HDAC4,1
IL15RA,1
GPX8,1
IGFBP6,1
GTF2A1,1
GPATCH8,1
HBB,1
GPNMB,1
FECH,1
GTPBP10,1
FGF3,1
IER3,1
IGF2BP2,1
FKBP14,1
GPR4,1
IER5,1
HBA1,1
GUCY2D,1
GZMH,1
HBA2,1
HADHB,1
FGFR3,1
FOXB1,1
KRT31,1
IFNLR1,1
GPX1,1
IFNAR2,1
HLA-DRB5,1
GCH1,1
GCNT2,1
ERICH2,1
HNRNPDL,1
IL6,1
HNF1B,1
ERLIN2,1
FABP4,1
GEM,1
HN1L,1
FOXRED1,1
GFPT2,1
HECTD4,1
HLA-DQB1,1
FAIM,1
HLA-DQA1,1
FAM3B,1
GPC6,1
IL4R,1
FAM81A,1
HIST1H4I,1
HEPH,1
GALNT4,1
KRT26,1
TMEM252,1
LAMB2,1
SLC6A11,1
RPH3AL,1
CMTM3,1
CLEC10A,1
RPTOR,1
RRAD,1
RSC1A1,1
SCGB1A1,1
CLDN5,1
SENP8,1
SETD4,1
CLCF1,1
CHD7,1
SIKE1,1
CHD1,1
CFP,1
SLC14A2,1
SLC22A12,1
SLC28A2,1
SLC35A1,1
RNF41,1
RNF20,1
RHPN1,1
PROSER1,1
CTSS,1
PLCD3,1
PLEK2,1
PMM2,1
CSRNP1,1
PNMT,1
CSF1R,1
CRTC2,1
PRPF40B,1
RGS6,1
PRRG4,1
PTBP2,1
PYCR1,1
CRISPLD2,1
RAB38,1
RASSF7,1
RFFL,1
CPE,1
SLC51B,1
CDH5,1
PLA2G12B,1
SLC7A2,1
CCRL2,1
TBC1D24,1
CCL4,1
TEKT4,1
TENM1,1
CCL3L3,1
TESK2,1
TEX12,1
TGS1,1
CCL24,1
TMCO3,1
CCL13,1
CASP4,1
CACHD1,1
TMEM30A,1
TMEM69,1
TMEM71,1
TMPRSS6,1
TMTC3,1
TBC1D2,1
TAS2R4,1
TAF5,1
SNIP1,1
SLIT1,1
SLX1A,1
SLX1B,1
SMARCD1,1
CD86,1
CD83,1
CD38,1
SND1,1
SNTN,1
SYCP3,1
SPIRE2,1
SPRN,1
SRL,1
ST6GALNAC4,1
STK31,1
STXBP2,1
SURF2,1
CD163,1
CXCL10,1
PITHD1,1
FBXO30,1
NAB1,1
MARCH6,1
MBD1,1
EPS8,1
MDGA1,1
MDM2,1
METTL1,1
METTL10,1
MEX3C,1
MKI67,1
MLLT10,1
MNT,1
MPP4,1
ENTPD1,1
MSN,1
JUNB,1
MTIF3,1
MTM1,1
MXRA8,1
EMP3,1
ESAM,1
ESYT2,1
MAP4K2,1
F13A1,1
LBH,1
LIFR,1
FBF1,1
FAM43A,1
LPCAT4,1
FAM20C,1
FABP9,1
LRCH4,1
LRRC25,1
KIAA1217,1
LRRD1,1
LRRN1,1
LSM2,1
MAGEB1,1
ETV3,1
ETS2,1
ETS1,1
MAMDC2,1
MYF5,1
NDST4,1
CXCL16,1
NKAIN1,1
DOT1L,1
DNAJB4,1
PARG,1
PARP2,1
DNAJB1,1
DNAH3,1
PAX1,1
DHX40,1
PAX8,1
PCDHA5,1
DENND3,1
DDX17,1
PCDHGA6,1
PCGF6,1
PCK2,1
PDE6C,1
PEX5,1
CYYR1,1
CXCL3,1
DUSP8,1
OVOL1,1
OPN1SW,1
EGR2,1
NOTCH3,1
NPHS1,1
NPLOC4,1
EMP1,1
ELL,1
NRL,1
NUCKS1,1
EID3,1
NUDCD2,1
OR9K2,1
EDNRB,1
OR5AR1,1
OR10V1,1
OR5H2,1
OR6P1,1
OR2A14,1
OR2T6,1
OR6C70,1
JUN,1
BMS1,1
DMC1,1
IFT27,1
HDLBP,1
HEATR5A,1
SEMA4C,1
HIVEP3,1
HMGXB4,1
HN1,1
IAH1,1
IDH3G,1
IMPACT,1
SEMA6A,1
KCNN4,1
KRIT1,1
SELP,1
LIMD2,1
LPGAT1,1
LSM1,1
MAN2C1,1
SELE,1
H3F3B,1
H3F3A,1
MBD5,1
EIF3C,1
SLC16A13,1
DTNB,1
SLC15A3,1
SKIL,1
DTYMK,1
SIGLEC1,1
EBI3,1
EIF2B2,1
EMC4,1
SEMA6B,1
EVA1B,1
SHANK3,1
SH3PXD2A,1
FLYWCH2,1
GEMIN5,1
SH2B3,1
SGK1,1
H2AFJ,1
MATR3,1
SDE2,1
SLC16A6,1
RASIP1,1
RGS16,1
NDUFB10,1
RELL1,1
RELB,1
REL,1
RCAN1,1
RASSF4,1
NDUFS7,1
RASGEF1B,1
NDUFA12,1
NOL12,1
RAPGEF5,1
RAMP2,1
NSMF,1
NSUN5,1
OXLD1,1
PARD3B,1
RAB43,1
NDUFA13,1
RGS5,1
SDC4,1
RNF149,1
SCARA5,1
MLLT11,1
MRPL28,1
SBNO2,1
SASH1,1
S1PR1,1
MRPL40,1
ROBO4,1
MRPL41,1
MXD4,1
RND3,1
MRPL47,1
RHOU,1
RHOB,1
MRPL52,1
MRPS24,1
MTSS1,1
MTX1,1
DNPEP,1
SLC1A1,1
PHB2,1
ZFAND5,1
VEGFB,1
WIPF1,1
WSB1,1
WT1,1
TIMP2,1
ZBTB10,1
TIMD4,1
ZC3H12A,1
TIE1,1
VASN,1
THBS1,1
ZFP36L1,1
TFPI,1
TEK,1
TAGLN2,1
ZYX,1
STAB1,1
C15orf39,1
VEGFA,1
UPK3B,1
ST3GAL1,1
TRIB1,1
TNFAIP3,1
TNFAIP6,1
TNFRSF1B,1
TMEM2,1
TNRC6C,1
TNS1,1
TNXB,1
TMEM173,1
TRPV2,1
UGDH,1
TM6SF1,1
TRRAP,1
TM4SF1,1
TSPAN2,1
TLR2,1
TSPAN7,1
TUBB6,1
UAP1,1
C17orf89,1
ABHD14A,1
DNAJB14,1
SLC6A8,1
COX7A2,1
SLCO2B1,1
SLC9A1,1
CSPP1,1
SLC7A7,1
SLC7A11,1
CUL9,1
SLC7A1,1
DCLRE1B,1
SOX7,1
SLC2A1,1
SLC29A1,1
DDX39A,1
SLC25A25,1
DHPS,1
DISP1,1
SLC22A5,1
DNA2,1
SOCS3,1
COX6A1,1
ACAA1,1
SPSB1,1
AGBL5,1
C16orf54,1
ANAPC5,1
SSH1,1
ATF4,1
SRGAP1,1
SRF,1
SRCAP,1
SPRY2,1
CLNK,1
SPHK1,1
CAMK1D,1
SPARCL1,1
CCDC22,1
CD37,1
CDC25C,1
CEP350,1
CHRAC1,1
PER3,1
PIM3,1
JUND,1
MAFF,1
ANKRD60,1
ANKZF1,1
ARHGAP25,1
ARL15,1
ARRB1,1
ASIC1,1
MAMSTR,1
MAFK,1
BDNF,1
ALG5,1
LYVE1,1
BMP10,1
TNFAIP2,1
LY86,1
C1GALT1,1
CACNA1B,1
CACNG1,1
CADPS2,1
AMOT,1
MAP3K8,1
LRRC8C,1
ACSM1,1
ACAD9,1
MUSTN1,1
ACOT8,1
ACR,1
MSLN,1
MS4A4A,1
MMP2,1
MIDN,1
ADAM28,1
MAPK6,1
MED13L,1
ADCYAP1R1,1
ADRB2,1
KIAA1024,1
MARK2,1
AFAP1L2,1
MARCKSL1,1
AKAP8,1
LTBP4,1
CALCRL,1
MYH9,1
CTSA,1
COL4A4,1
KLF6,1
COLEC10,1
CPQ,1
KLF2,1
KDR,1
CSNK2B,1
CTRC,1
CYP2B6,1
CNTFR,1
CYP3A7,1
CYP4A11,1
CXorf57,1
DACH2,1
DAPP1,1
KCNJ2,1
DGUOK,1
KCNE4,1
COL4A3BP,1
CMKLR1,1
LRRC32,1
CDK5RAP1,1
LITAF,1
CARD10,1
CBFA2T3,1
CCDC89,1
CCL19,1
LIMA1,1
LARP1,1
CD109,1
CECR5,1
CLDN4,1
CENPI,1
CEP89,1
CFI,1
CHD4,1
CHMP4B,1
CHRNA7,1
KLHL2,1
CLCN7,1
ABTB2,1
MYO1B,1
PTX3,1
SERF2,1
RGS7BP,1
PPP1R15B,1
RXRB,1
PPP1R15A,1
PPM1M,1
PMEPA1,1
SCAND1,1
SECISBP2,1
PLXND1,1
PRDM2,1
SLC19A1,1
SLC38A10,1
SMC2,1
SPPL3,1
SPSB4,1
PLEKHO2,1
SRP19,1
PLEK,1
PPP1R9B,1
PRKCH,1
SVIP,1
PRELID1,1
POLD1,1
PTPRM,1
POLR2I,1
PTPRB,1
PTGS2,1
PPIG,1
PTGES,1
PPOX,1
PRR11,1
REPS1,1
PTPN18,1
RAB12,1
RABEP2,1
PTAFR,1
PSD3,1
PRRC2B,1
REEP5,1
PROCR,1
PLD4,1
TAF10,1
C19orf66,1
ZDHHC14,1
NOTCH1,1
NLRP3,1
NINJ1,1
UROD,1
NFKBIZ,1
VPS37C,1
ZC3H18,1
ZC3H4,1
ZDHHC6,1
NR4A1,1
C11orf53,1
C18orf21,1
C1orf43,1
C1orf159,1
MINOS1-NBL1,1
NBL1,1
NAV1,1
C5orf15,1
NR1D1,1
NR4A3,1
TCF19,1
PGM2,1
PLAU,1
PIM1,1
TIMM17B,1
PIEZO1,1
PICALM,1
PHLDB1,1
TMEM109,1
TNFAIP8L1,1
TNK2,1
PATL1,1
TRIM27,1
PGF,1
PF4,1
TRUB2,1
TTC28,1
UBN1,1
PEG3,1
PECAM1,1
NECTIN3,1
THOC1,1
TNC,1
GHITM,1
GLRX2,1
GMFB,1
GPD1L,1
GPLD1,1
GREM2,1
HIGD1A,1
HPGD,1
HSD17B7,1
HSPA12A,1
IKZF5,1
INSIG1,1
ISLR,1
ISOC1,1
ITGA6,1
ITGBL1,1
ITPK1,1
ITPR2,1
LGALS12,1
LHFPL2,1
IPO8,1
C14orf180,1
LOXL2,1
LPCAT3,1
LRPPRC,1
LUM,1
GHR,1
GBE1,1
COL1A1,1
GAP43,1
COL3A1,1
COL5A1,1
CPT1B,1
CRLF1,1
CTHRC1,1
CYP4F3,1
DBI,1
DLD,1
DLG2,1
DTX4,1
ECHDC1,1
EIF1AX,1
ELOVL5,1
ENPP1,1
ENTPD2,1
EPB41L1,1
FADS1,1
FAM105A,1
FAM136A,1
FAM198B,1
FAM206A,1
FAM57B,1
FASN,1
FGFRL1,1
GALNT1,1
MARC1,1
MDH1,1
METTL6,1
MFAP5,1
RGN,1
RNF126,1
RPE,1
S100B,1
SDC2,1
SFRP4,1
SFRP5,1
SGCB,1
SHISA3,1
SLC24A3,1
SLC25A16,1
SLC25A35,1
SLC31A1,1
SLC36A2,1
SLC5A6,1
SNX7,1
SOD3,1
SORL1,1
SQLE,1
SREBF1,1
SURF4,1
SYAP1,1
SYDE1,1
SYNJ2BP,1
TBC1D4,1
C11orf54,1
RAB1B,1
PYGL,1
NEK7,1
MICAL3,1
MLXIPL,1
MMGT1,1
MMRN1,1
MPI,1
MPST,1
MPZ,1
MRAP,1
MREG,1
MYH1,1
NAT8L,1
NEK9,1
PTGER3,1
NNMT,1
NOL3,1
OLFML1,1
ORMDL3,1
PARVA,1
PC,1
PEX11A,1
PGAM1,1
PLOD1,1
PRELP,1
PTDSS2,1
COL1A2,1
COL14A1,1
THRSP,1
NDUFA9,1
NTF3,1
NUDT4,1
OBSL1,1
OSBPL1A,1
OSBPL6,1
OSGEP,1
PCCB,1
PCDH17,1
PFKFB2,1
PIAS2,1
PIWIL2,1
PPM1J,1
PROM1,1
PSMB7,1
RILPL1,1
RNF207,1
RPL3L,1
RTN4RL1,1
SBK1,1
SCARF1,1
IQCJ-SCHIP1,1
SCXB,1
SEC24D,1
SGCA,1
SLC25A36,1
NFATC3,1
NCEH1,1
COL12A1,1
NCAPG2,1
HADH,1
HECW2,1
HFE2,1
HHATL,1
IRF6,1
ITGA7,1
KCNB1,1
KCNJ8,1
KCNK2,1
KHDRBS3,1
KLHL33,1
KY,1
LETM1,1
CTAGE5,1
C4orf19,1
LRRC39,1
LYSMD4,1
ME3,1
MPND,1
MPP6,1
MPP7,1
MYH6,1
MYO18B,1
NAA40,1
NARF,1
SLC26A6,1
SLC35F5,1
SLC38A2,1
SOX18,1
ALDH9A1,1
ALDOA,1
ALG2,1
ALG3,1
AMOTL1,1
AP3D1,1
API5,1
APP,1
ARHGAP24,1
ART3,1
ASNS,1
ATF5,1
BAG4,1
BCAP31,1
BLCAP,1
BZW1,1
C6,1
CACYBP,1
CD302,1
CD55,1
CDC123,1
CDC26,1
CDIP1,1
CERCAM,1
CLCN4,1
AKR7A2,1
AGPAT2,1
ADRM1,1
USF2,1
SPOP,1
SSPN,1
STARD8,1
SUCLG1,1
SYNPR,1
TFAP4,1
TMEM41A,1
TPPP,1
TRDN,1
TRIM63,1
UBR3,1
VIPR1,1
ADRB3,1
VPS37B,1
WRNIP1,1
ZBTB7B,1
AACS,1
AADAT,1
ABHD1,1
ABHD5,1
ACACA,1
ACTA1,1
ADIPOR2,1
ADORA1,1
TDRP,1
THY1,1
GTPBP3,1
P2RX6,1
PAX4,1
PCNP,1
PIAS1,1
PLEC,1
PLEKHF1,1
PLG,1
PLIN5,1
PLOD3,1
PNLIPRP1,1
PORCN,1
PPP4C,1
PRCP,1
PROK1,1
PRSS27,1
PSMD2,1
PUM1,1
PYROXD2,1
RAB3IP,1
RAB8B,1
RAD23A,1
RAF1,1
RASGEF1C,1
RFWD2,1
RNASE4,1
RND2,1
PAH,1
OS9,1
HSPA1B,1
ORAI3,1
INSIG2,1
IP6K2,1
JDP2,1
LAMB3,1
LANCL1,1
KIAA0040,1
LRP1,1
LTB4R2,1
MAP3K10,1
MAP3K2,1
MDK,1
MED24,1
MFN2,1
MSS51,1
MTNR1B,1
MYLK2,1
NAT14,1
NDC80,1
NDEL1,1
NEDD9,1
NOTUM,1
NPVF,1
NR0B1,1
NR5A2,1
OAF,1
RPA1,1
RSU1,1
SCNN1B,1
SEC14L2,1
SURF6,1
SYN1,1
SYNGR2,1
TCEANC,1
TECR,1
THRA,1
TMCC2,1
TMEM176B,1
TMEM33,1
TMEM37,1
TMEM39A,1
TNFAIP8,1
TSN,1
TTC33,1
USP14,1
USP31,1
VAC14,1
VMP1,1
VPS11,1
VPS16,1
VTN,1
WHAMM,1
WIPF3,1
XDH,1
XYLT2,1
STX7,1
STAT4,1
STAC3,1
SLC28A1,1
SERPINB5,1
SERTAD3,1
SEZ6L,1
SHKBP1,1
SIAE,1
SLC16A3,1
SLC17A6,1
SLC17A7,1
SLC22A9,1
SLC22A8,1
SLC25A39,1
SLC29A4,1
ST6GALNAC3,1
SLC38A4,1
SLC46A3,1
SLC5A1,1
SLC6A12,1
SLC6A17,1
SLC9A3R1,1
SPOCK3,1
SRI,1
SRSF4,1
SSSCA1,1
ST14,1
IL13RA2,1
HSPA1A,1
TLCD1,1
APOC2,1
ARG1,1
ASH1L,1
ASNA1,1
BCL9L,1
BHMT2,1
BPHL,1
BSG,1
BSN,1
C1R,1
CALR,1
CAMTA2,1
CANX,1
CA14,1
CA7,1
CBLB,1
CBS,1
LOC102724560,1
CC2D1B,1
CCL2,1
CD96,1
CDC37,1
CDH23,1
CDKN1A,1
CHRNA1,1
CHRNA4,1
AQP8,1
APOA4,1
HSD17B4,1
ANXA6,1
TM7SF2,1
TM9SF3,1
TMBIM6,1
TMEM177,1
TMEM43,1
TPPP3,1
TPSB2,1
TPSAB1,1
TRIM16,1
UBE2Q2,1
USP12,1
XRCC6,1
YARS,1
ZDHHC5,1
ZNF385A,1
A1CF,1
AAAS,1
ACOT12,1
ACOX2,1
ACTR1B,1
ACY3,1
AGMAT,1
ALDH3A1,1
AMFR,1
AMT,1
CHRNB2,1
CIDEC,1
CLDN3,1
CLPB,1
FMO1,1
FOXC2,1
FTH1,1
FTL,1
G6PC,1
GADD45B,1
GC,1
GLYCTK,1
GPATCH1,1
GPR182,1
GPT,1
GRB2,1
GRID2IP,1
GSDMA,1
GSDMD,1
GSTA1,1
HAAO,1
HAO2,1
HFE,1
HGS,1
HIBADH,1
HIPK2,1
HMGCS2,1
HPN,1
HRAS,1
FKBP1B,1
FCER2,1
FBXO41,1
DDT,1
CLTB,1
COL18A1,1
CPPED1,1
CPT1A,1
CTDSP1,1
CYP2C9,1
CYP3A5,1
CYP4A22,1
DCAF11,1
DCAKD,1
DCXR,1
DDX23,1
FBXO36,1
DHRS3,1
DIO1,1
DOHH,1
DRAP1,1
DUSP1,1
DUSP9,1
ECHDC2,1
EDEM1,1
EIF5A,1
EMILIN1,1
EPHB6,1
HABP4,1
GNRH1,1
TNFRSF14,1
TOR1B,1
TTLL3,1
UBC,1
UBXN4,1
WASF2,1
XBP1,1
ZMYND11,1
KIAA0368,1
CTTNBP2,1
EDRF1,1
QTRTD1,1
SYNE2,1
C2orf69,1
C14orf119,1
C8orf37,1
KIAA1551,1
C3orf38,1
C4orf32,1
ACSM2A,1
AFM,1
AGBL4,1
AICDA,1
AMY2A,1
ANAPC10,1
ANG,1
ANGEL2,1
